timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-06-04 20:05:00,104750.2,104784.1,104693.7,104781.8,470.31,1749067799999,49258138.78280,9297,196.870,20619862.52140,0
2025-06-04 20:10:00,104781.7,104814.0,104700.6,104703.6,238.571,1749068099999,24991080.46180,4696,80.292,8412026.10630,0
2025-06-04 20:15:00,104703.7,104708.7,104501.0,104516.9,966.655,1749068399999,101097490.73680,14278,268.604,28089891.92260,0
2025-06-04 20:20:00,104516.8,104530.0,104350.0,104453.8,1013.64,1749068699999,105860900.90350,22966,315.174,32914121.98770,0
2025-06-04 20:25:00,104453.8,104646.9,104451.3,104628.4,1087.801,1749068999999,113715937.09260,10879,644.267,67344464.40390,0
2025-06-04 20:30:00,104628.4,104658.1,104521.4,104631.5,320.191,1749069299999,33497681.56490,7230,165.457,17310602.52890,0
2025-06-04 20:35:00,104631.5,104667.3,104583.3,104634.2,230.846,1749069599999,24152533.11840,5282,120.270,12583511.75960,0
2025-06-04 20:40:00,104634.3,104715.6,104602.6,104704.8,160.627,1749069899999,16811076.28070,4697,87.646,9173412.04070,0
2025-06-04 20:45:00,104704.8,104704.8,104609.7,104630.3,204.778,1749070199999,21431388.66900,4544,91.752,9602104.02880,0
2025-06-04 20:50:00,104630.4,104674.8,104559.3,104636.7,224.292,1749070499999,23463102.02940,4799,102.441,10717573.40740,0
2025-06-04 20:55:00,104636.7,104636.7,104482.5,104558.9,517.435,1749070799999,54092675.17850,7996,121.082,12656166.27450,0
2025-06-04 21:00:00,104558.9,104558.9,104495.2,104495.2,209.559,1749071099999,21904987.83280,3841,44.065,4606055.27420,0
2025-06-04 21:05:00,104494.8,104581.2,104490.5,104555.8,198.251,1749071399999,20722772.00140,4497,131.382,13733045.26310,0
2025-06-04 21:10:00,104555.7,104715.6,104541.0,104712.1,213.599,1749071699999,22346530.06060,4209,158.751,16609043.38680,0
2025-06-04 21:15:00,104712.1,104712.1,104597.7,104597.7,145.091,1749071999999,15184577.03470,3048,32.469,3398319.99420,0
2025-06-04 21:20:00,104597.7,104597.8,104531.7,104581.7,203.5,1749072299999,21278611.19350,3171,82.011,8575175.94030,0
2025-06-04 21:25:00,104581.7,104634.0,104581.6,104633.9,71.945,1749072599999,7525959.49830,1753,53.871,5635294.50920,0
2025-06-04 21:30:00,104633.9,104804.5,104633.9,104804.5,138.363,1749072899999,14491762.85460,3905,111.556,11683751.44930,0
2025-06-04 21:35:00,104804.5,104964.0,104804.4,104848.0,645.887,1749073199999,67751773.50560,8871,335.849,35227611.22570,0
2025-06-04 21:40:00,104848.1,104867.9,104705.0,104829.8,355.686,1749073499999,37268060.57200,6233,146.617,15361003.99870,0
2025-06-04 21:45:00,104829.8,105003.7,104822.4,104973.0,740.547,1749073799999,77710161.66440,9552,552.675,57999359.36930,0
2025-06-04 21:50:00,104972.9,105006.3,104927.9,104935.2,197.522,1749074099999,20732646.99650,4567,92.556,9714981.78560,0
2025-06-04 21:55:00,104935.1,104940.1,104858.0,104866.3,103.356,1749074399999,10842054.24060,3427,38.829,4073111.35500,0
2025-06-04 22:00:00,104866.4,104900.5,104764.1,104814.3,269.664,1749074699999,28267725.95320,7356,137.852,14449769.44680,0
2025-06-04 22:05:00,104814.4,104814.4,104710.8,104765.3,173.861,1749074999999,18213325.20610,4566,89.706,9397051.07120,0
2025-06-04 22:10:00,104765.3,104895.0,104765.3,104869.8,139.864,1749075299999,14666015.97990,5016,84.430,8852510.79820,0
2025-06-04 22:15:00,104869.8,104980.5,104855.6,104964.6,184.777,1749075599999,19392351.43070,4277,87.085,9138944.65500,0
2025-06-04 22:20:00,104964.7,104970.0,104766.0,104780.5,180.901,1749075899999,18969343.69500,4977,52.582,5512955.89150,0
2025-06-04 22:25:00,104780.5,104799.1,104733.1,104746.1,124.56,1749076199999,13049852.95220,3600,50.628,5304189.18730,0
2025-06-04 22:30:00,104746.0,104790.0,104700.0,104756.3,158.167,1749076499999,16566670.79700,5061,92.218,9658775.24500,0
2025-06-04 22:35:00,104756.3,104840.6,104717.7,104803.0,203.228,1749076799999,21293689.76970,4865,148.587,15569315.47740,0
2025-06-04 22:40:00,104802.9,104855.0,104802.9,104817.5,82.557,1749077099999,8654413.71250,3110,45.405,4759746.59740,0
2025-06-04 22:45:00,104817.5,104817.6,104710.0,104749.2,153.497,1749077399999,16080682.75690,4153,77.767,8147182.59260,0
2025-06-04 22:50:00,104749.2,104760.8,104681.0,104740.0,176.163,1749077699999,18447903.76590,3792,58.675,6144220.28070,0
2025-06-04 22:55:00,104740.0,104778.0,104706.2,104727.5,93.679,1749077999999,9811966.33650,2611,37.562,3934136.88490,0
2025-06-04 23:00:00,104727.5,104756.3,104648.9,104659.7,192.918,1749078299999,20198775.99440,5517,70.845,7418157.55930,0
2025-06-04 23:05:00,104659.7,104819.4,104643.2,104748.8,277.639,1749078599999,29082061.44110,6669,150.445,15758655.55940,0
2025-06-04 23:10:00,104748.8,104757.2,104691.5,104695.6,69.548,1749078899999,7284027.88870,2641,27.007,2828534.96780,0
2025-06-04 23:15:00,104695.6,104741.4,104629.1,104636.9,150.342,1749079199999,15737531.58070,4309,65.261,6832119.05770,0
2025-06-04 23:20:00,104636.8,104636.9,104568.0,104633.1,302.935,1749079499999,31686017.95590,6617,114.621,11989042.00000,0
2025-06-04 23:25:00,104633.1,104655.2,104613.1,104613.2,92.664,1749079799999,9696110.40240,2614,46.663,4882544.06300,0
2025-06-04 23:30:00,104613.1,104686.0,104568.0,104669.0,151.8,1749080099999,15881242.82320,3652,92.426,9670149.74640,0
2025-06-04 23:35:00,104669.0,104677.5,104631.1,104654.9,161.619,1749080399999,16915682.34130,3170,69.125,7234691.02050,0
